                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 4.9706,                 12.142,                 8.0261,                 4.7696,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.8541,                 4.2095,                 6.4211,                 3.9531,                3.7e-06,                3.7e-06,                3.7e-06
                      2,                 4.6935,                 10.598,                 8.2564,                 4.6297,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.9237,                 4.8412,                 6.5959,                 4.1306,              1.099e-05,              1.099e-05,              1.099e-05
                      3,                 5.0112,                 10.746,                 7.1424,                 4.6253,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.9928,                 5.7084,                 6.8341,                 4.2999,             1.8134e-05,             1.8134e-05,             1.8134e-05
                      4,                 4.7233,                  8.427,                 6.6041,                 4.3907,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 5.0323,                 6.5161,                 7.5717,                 4.3473,             2.5131e-05,             2.5131e-05,             2.5131e-05
                      5,                 4.5252,                 6.8924,                 5.8462,                 3.9425,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.9723,                 7.2566,                  9.116,                 4.2327,             3.1981e-05,             3.1981e-05,             3.1981e-05
                      6,                   4.33,                   4.75,                 5.5192,                 3.8235,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.9149,                 7.8653,                 12.172,                 4.1507,             3.8685e-05,             3.8685e-05,             3.8685e-05
                      7,                 4.1093,                 4.0712,                 5.2852,                 3.3089,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.7238,                 7.9584,                 15.927,                 3.9808,             4.5243e-05,             4.5243e-05,             4.5243e-05
                      8,                 3.8226,                 2.9656,                 4.7303,                 3.0383,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  4.507,                 7.8135,                 16.798,                 3.6758,             5.1654e-05,             5.1654e-05,             5.1654e-05
                      9,                 3.4436,                 2.7013,                 5.0788,                 2.4928,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.4461,                 7.5632,                 16.049,                 3.5361,             5.7918e-05,             5.7918e-05,             5.7918e-05
                     10,                 3.3768,                 2.3199,                 4.4258,                 2.4432,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 4.0651,                 6.3994,                  13.02,                 3.1881,             6.4036e-05,             6.4036e-05,             6.4036e-05
                     11,                  3.382,                 2.7687,                 4.4344,                 2.5242,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                 3.5876,                 5.1171,                  9.649,                 2.7851,             7.0008e-05,             7.0008e-05,             7.0008e-05
                     12,                 2.9298,                  2.257,                 4.3217,                 2.1337,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                      0,                  3.006,                 3.8264,                 8.1924,                 2.4518,             7.5833e-05,             7.5833e-05,             7.5833e-05
                     13,                 3.0037,                 2.2304,                 4.3471,                 2.2723,                0.07196,                0.05208,                0.02641,                0.00716,                0.07196,                0.05208,                0.02641,                0.01057,                 2.8957,                 3.0623,                 7.2662,                 2.4049,             8.1511e-05,             8.1511e-05,             8.1511e-05
                     14,                 2.5453,                 2.0655,                  3.982,                 2.1059,                0.16691,                0.13542,                  0.055,                0.02144,                0.16691,                0.13542,                  0.055,                0.02174,                 2.9532,                 2.6943,                 7.8609,                  2.484,             8.7043e-05,             8.7043e-05,             8.7043e-05
                     15,                 2.7466,                 2.5044,                 4.2895,                 2.1269,                0.17567,                0.13542,                0.06914,                 0.0295,                0.17567,                0.13542,                0.06914,                0.02412,                 2.8844,                 2.4102,                 8.7043,                 2.3988,             9.2428e-05,             9.2428e-05,             9.2428e-05
                     16,                 2.5793,                 1.7157,                 4.0401,                 2.0948,                0.10263,                0.11458,                0.05194,                0.02596,                0.11121,                0.14583,                0.05912,                0.01672,                 2.7355,                 2.1273,                 10.458,                 2.2458,             9.7667e-05,             9.7667e-05,             9.7667e-05
                     17,                 2.6671,                 1.6602,                 3.8075,                 2.0991,                0.10903,                0.13542,                0.06465,                0.02635,                0.10921,                0.13542,                0.06524,                0.02602,                 2.5975,                 1.9133,                 12.867,                 2.1515,             0.00010276,             0.00010276,             0.00010276
                     18,                 2.4478,                  1.403,                 3.6578,                 1.9636,                0.09119,                0.13542,                0.03894,                 0.0194,                0.10304,                0.15625,                0.05565,                0.02212,                 2.5255,                 1.8014,                 15.114,                 2.1138,             0.00010771,             0.00010771,             0.00010771
                     19,                 2.2424,                 1.5077,                 3.5171,                 1.9064,                0.28895,                0.09375,                0.05729,                0.02903,                0.23454,                0.13958,                0.07353,                 0.0404,                 2.4319,                 1.7316,                 20.983,                 2.0633,              0.0001125,              0.0001125,              0.0001125
                     20,                  2.288,                 1.2123,                 3.4025,                 1.8666,                0.22239,                0.09792,                0.05188,                0.02099,                0.22239,                0.09792,                0.05224,                0.02486,                 2.4706,                 1.7125,                 28.894,                 2.0656,             0.00011716,             0.00011716,             0.00011716
                     21,                 2.2268,                  1.155,                  4.237,                 1.7969,                0.21628,                0.08542,                0.06314,                0.02383,                0.21628,                0.08542,                0.05986,                0.03183,                 2.4961,                 1.6689,                 28.238,                 2.0999,             0.00012166,             0.00012166,             0.00012166
                     22,                 2.2523,                 1.6278,                 3.2306,                 1.9017,                0.08344,                0.26667,                0.05786,                0.02206,                0.07991,                0.16042,                0.05397,                0.02772,                 2.4472,                 1.6685,                 22.611,                 2.0583,             0.00012602,             0.00012602,             0.00012602
